"Data Source","Jobs",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Congo, Dem. Rep.","COD","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","81.29540481","2154.436827","4129.169857","1986.904762","23773.13177","541.9088832","492.4418502","198.5167074","29.14880692","284.8949759","513.9068437","359.9366143","31.5225826","12.87396572","3.994384008","21.31681672","13.05269497","16.94510065","17.30138457","2.8","7.1","15.31651591","9.721828063","1.632925411","","","",
"Congo, Rep.","COG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2.889053742","-1.67834969","-3.935468101","4.923664122","42.43967503","9.418007435","10.03112033","","","4.142671373","-0.881991517","0.055989922","4.378759718","-0.631844987","2.42976608","3.094490115","6.537843953","2.656413243","7.334245387","7.454453074","0.425560659","0.760072644","6.094793057","6.008934751","0.077160494","4.514036066","",
"Colombia","COL","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","29.14547055","30.3738164","27.02259553","22.43841317","22.84786022","20.89346612","20.79800807","18.4681276","18.67620156","10.87474413","9.221133432","7.968468049","6.350125349","7.131186269","5.904678173","5.048116153","4.296333435","5.543753935","6.996990766","4.202933108","2.278220158","3.411616121","3.176934374","2.022774948","2.877810251","5.005030657","7.517452808",
"Comoros","COM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","5.554593948","3.533042143","3.799081367","4.474992891","3.013323951","3.374363601","4.466167101","1.700781763","4.362348293","3.354757703","1.771363774","1.768907098","2.297303022","0.578747502","-8.11516927","",
"Cabo Verde","CPV","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","10.65350579","9.550907413","3.116664327","5.788395904","3.45205833","8.35152498","5.963619618","8.556062581","4.3942351","4.356433745","-2.477456685","3.349964723","1.884534101","1.188170386","-1.890821723","0.418891613","5.369076871","4.410997042","6.782768103","0.983222786","2.078664709","4.473883422","2.543293964","1.512153759","-0.243630795","0.132579722","-1.407665505",
"Costa Rica","CRI","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","19.04418009","28.70932083","21.78825425","9.781446442","13.5342451","23.18923671","17.52249457","13.23146987","11.66609348","10.04588377","10.99252429","11.22697551","9.164815792","9.44756481","12.31503093","13.79797528","11.47053071","9.357331387","13.42335635","7.843825841","5.660230651","4.883012481","4.504067692","5.224285869","4.515312677","0.79668498","-0.004186378",
"Cuba","CUB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","4.502054629","5.035274388","6.510219531","4.854166667","4.698589311","2.61581788","2.978924865","3.605344444","2.227707327","1.63","4.141657647","1.977056383","2.801155052","4.139065387","2.286217068","2.558451986","2.495874931","2.372492743","4.669171081","0.374079976","2.381258363","3.289449396","2.389768958","-0.400053061","-1.354988854","-2.096997691","-1.429166667",
